"","status","duration","credit_history","purpose","amount","savings","employment_duration","installment_rate","personal_status_sex","other_debtors","present_residence","property","age","other_installment_plans","housing","number_credits","job","people_liable","telephone","foreign_worker","credit_risk"
"28","... >= 200 DM / salary for at least 1 year",12,"all credits at this bank paid back duly","domestic appliances",409,"... >= 1000 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",3,"real estate",42,"none","rent",2,"skilled employee/official",1,"no","yes",1
"29","0 <= ... < 200 DM",7,"existing credits paid back duly till now","domestic appliances",2415,"... < 100 DM","1 <= ... < 4 years",3,"male : single","guarantor",2,"real estate",34,"none","own",1,"skilled employee/official",1,"no","yes",1
"30","... < 100 DM",60,"delay in paying off in the past","others",6836,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"unknown/no property",63,"none","own",2,"skilled employee/official",1,"yes","yes",0
"31","0 <= ... < 200 DM",18,"existing credits paid back duly till now","others",1913,"... >= 1000 DM","... < 1 year",3,"male : married/widowed","none",3,"real estate",36,"bank","own",1,"skilled employee/official",1,"yes","yes",1
"32","... < 100 DM",24,"existing credits paid back duly till now","radio/television",4020,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",27,"stores","own",1,"skilled employee/official",1,"no","yes",1
"33","0 <= ... < 200 DM",18,"existing credits paid back duly till now","car (new)",5866,"100 <= ... < 500 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",30,"none","own",2,"skilled employee/official",1,"yes","yes",1
"34","no checking account",12,"critical account/other credits existing","others",1264,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"unknown/no property",57,"none","rent",1,"unskilled - resident",1,"no","yes",1
"35","... >= 200 DM / salary for at least 1 year",12,"existing credits paid back duly till now","radio/television",1474,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"building society savings agreement/life insurance",33,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"36","0 <= ... < 200 DM",45,"critical account/other credits existing","domestic appliances",4746,"... < 100 DM","... < 1 year",4,"male : single","none",2,"building society savings agreement/life insurance",25,"none","own",2,"unskilled - resident",1,"no","yes",0
"37","no checking account",48,"critical account/other credits existing","retraining",6110,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",3,"unknown/no property",31,"bank","for free",1,"skilled employee/official",1,"yes","yes",1
"38","... >= 200 DM / salary for at least 1 year",18,"existing credits paid back duly till now","domestic appliances",2100,"... < 100 DM","1 <= ... < 4 years",4,"male : single","co-applicant",2,"real estate",37,"stores","own",1,"skilled employee/official",1,"no","yes",0
"39","... >= 200 DM / salary for at least 1 year",10,"existing credits paid back duly till now","repairs",1225,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",37,"none","own",1,"skilled employee/official",1,"yes","yes",1
"40","0 <= ... < 200 DM",9,"existing credits paid back duly till now","domestic appliances",458,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",3,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes",1
"41","no checking account",30,"existing credits paid back duly till now","domestic appliances",2333,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",2,"car or other",30,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"42","0 <= ... < 200 DM",12,"existing credits paid back duly till now","domestic appliances",1158,"500 <= ... < 1000 DM","1 <= ... < 4 years",3,"male : divorced/separated","none",1,"car or other",26,"none","own",1,"skilled employee/official",1,"yes","yes",1
"43","0 <= ... < 200 DM",18,"delay in paying off in the past","education",6204,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",4,"real estate",44,"none",NA,1,"unskilled - resident",2,"yes","yes",1
"44","... < 100 DM",30,"critical account/other credits existing","car (used)",6187,"100 <= ... < 500 DM","4 <= ... < 7 years",1,"male : married/widowed","none",4,"car or other",24,"none","rent",2,"skilled employee/official",1,"no","yes",1
"45","... < 100 DM",48,"critical account/other credits existing","car (used)",6143,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",4,"unknown/no property",58,"stores","for free",2,"unskilled - resident",1,"no","yes",0
"46","no checking account",11,"critical account/other credits existing","car (new)",1393,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"car or other",35,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"47","no checking account",36,"existing credits paid back duly till now","domestic appliances",2299,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",4,"car or other",39,"none","own",1,"skilled employee/official",1,"no","yes",1
"48","... < 100 DM",6,"existing credits paid back duly till now","car (used)",1352,"500 <= ... < 1000 DM","unemployed",1,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",23,"none","rent",1,"unemployed/unskilled - non-resident",1,"yes","yes",1
"49","no checking account",11,"critical account/other credits existing","car (new)",7228,"... < 100 DM","1 <= ... < 4 years",1,"male : single","none",4,"building society savings agreement/life insurance",39,"none",NA,2,"unskilled - resident",1,"no","yes",1
"50","no checking account",12,"existing credits paid back duly till now","domestic appliances",2073,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","co-applicant",2,"real estate",28,"none","own",1,"skilled employee/official",1,"no","yes",1
"51","0 <= ... < 200 DM",24,"delay in paying off in the past","radio/television",2333,"unknown/no savings account","... < 1 year",4,"male : single","none",2,"building society savings agreement/life insurance",29,"bank","own",1,"unskilled - resident",1,"no","yes",1
"52","0 <= ... < 200 DM",27,"delay in paying off in the past","car (used)",NA,"... < 100 DM","... >= 7 years",1,"male : single","none",2,"car or other",30,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"53","no checking account",12,"existing credits paid back duly till now","domestic appliances",1262,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"car or other",25,"none","own",1,"skilled employee/official",1,"no","yes",1
"54","no checking account",18,"existing credits paid back duly till now","car (used)",3378,"unknown/no savings account","1 <= ... < 4 years",2,"male : single","none",1,"building society savings agreement/life insurance",31,"none","own",1,"skilled employee/official",1,"yes","yes",1
"55","0 <= ... < 200 DM",36,"delay in paying off in the past","car (new)",2225,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",57,"bank","for free",2,"skilled employee/official",1,"yes","yes",0
"56","no checking account",6,"all credits at this bank paid back duly","car (new)",783,"unknown/no savings account","1 <= ... < 4 years",1,"male : single","guarantor",2,"real estate",26,"stores","own",1,"unskilled - resident",2,"no","yes",1
"57","0 <= ... < 200 DM",12,"existing credits paid back duly till now","domestic appliances",6468,"unknown/no savings account","unemployed",2,"male : single","none",1,"unknown/no property",52,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"58","no checking account",36,"critical account/other credits existing","domestic appliances",9566,"... < 100 DM","1 <= ... < 4 years",2,"female : divorced/separated/married","none",2,"car or other",31,"stores","own",2,"skilled employee/official",1,"no","yes",1
"59","... >= 200 DM / salary for at least 1 year",18,"existing credits paid back duly till now","car (new)",1961,"... < 100 DM","... >= 7 years",3,"female : divorced/separated/married","none",2,"car or other",23,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"60","... < 100 DM",36,"critical account/other credits existing","radio/television",6229,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","co-applicant",4,"unknown/no property",23,"none","rent",2,"unskilled - resident",1,"yes","yes",0
"61","0 <= ... < 200 DM",9,"existing credits paid back duly till now","others",1391,"... < 100 DM","1 <= ... < 4 years",2,"male : married/widowed","none",1,"real estate",27,"bank","own",1,"skilled employee/official",1,"yes","yes",1
"62","0 <= ... < 200 DM",15,"critical account/other credits existing","domestic appliances",1537,"unknown/no savings account","... >= 7 years",4,"male : single","guarantor",4,"real estate",50,"none","own",2,"skilled employee/official",1,"yes","yes",1
"63","0 <= ... < 200 DM",36,"no credits taken/all credits paid back duly","others",1953,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",61,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"64","0 <= ... < 200 DM",48,"no credits taken/all credits paid back duly","others",14421,"... < 100 DM","1 <= ... < 4 years",2,"male : single","none",2,"car or other",25,"none",NA,1,"skilled employee/official",1,"yes","yes",0
"65","no checking account",24,"existing credits paid back duly till now","domestic appliances",3181,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",26,"none","own",1,"skilled employee/official",1,"yes","yes",1
"66","no checking account",27,"existing credits paid back duly till now","education",5190,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"building society savings agreement/life insurance",48,"none","own",4,"skilled employee/official",2,"yes","yes",1
"67","no checking account",12,"existing credits paid back duly till now","domestic appliances",2171,"... < 100 DM","... < 1 year",2,"female : divorced/separated/married","none",2,"car or other",29,"bank","own",1,"skilled employee/official",1,"no","yes",1
"68","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1007,"... >= 1000 DM","1 <= ... < 4 years",4,"male : married/widowed","none",1,"real estate",22,"none","own",1,"skilled employee/official",1,"no","yes",1
"69","no checking account",36,"existing credits paid back duly till now","retraining",1819,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",4,"unknown/no property",37,"stores","for free",1,"skilled employee/official",1,"yes","yes",0
"70","no checking account",36,"existing credits paid back duly till now",NA,2394,"unknown/no savings account","1 <= ... < 4 years",4,"female : divorced/separated/married","none",4,"car or other",25,"none","own",1,"skilled employee/official",1,"no","yes",1
"71","no checking account",36,"existing credits paid back duly till now","car (used)",8133,"... < 100 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",30,"bank","own",1,"skilled employee/official",1,"no","yes",1
"72","no checking account",7,"critical account/other credits existing","domestic appliances",730,"unknown/no savings account","... >= 7 years",4,"male : single","none",2,"building society savings agreement/life insurance",46,"none","rent",2,"unskilled - resident",1,"yes","yes",1
"73","... < 100 DM",8,"critical account/other credits existing","furniture/equipment",1164,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"unknown/no property",51,"bank","for free",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"74","0 <= ... < 200 DM",42,"critical account/other credits existing",NA,5954,"... < 100 DM","4 <= ... < 7 years",2,"female : divorced/separated/married","none",1,"real estate",41,"bank","own",2,"unskilled - resident",1,"no","yes",1
"75","... < 100 DM",36,"existing credits paid back duly till now","retraining",1977,"unknown/no savings account","... >= 7 years",4,"male : single","none",4,"unknown/no property",40,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"76","... < 100 DM",12,"critical account/other credits existing","car (used)",1526,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",66,"none","for free",2,"management/self-employed/highly qualified employee/officer",1,"no","yes",1
"77","... < 100 DM",42,"existing credits paid back duly till now","domestic appliances",3965,"... < 100 DM","... < 1 year",4,"male : single","none",3,"car or other",34,"none","own",1,"skilled employee/official",1,"no","yes",0
"78","0 <= ... < 200 DM",11,"delay in paying off in the past","domestic appliances",4771,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",4,"building society savings agreement/life insurance",51,"none","own",1,"skilled employee/official",1,"no","yes",1
"79","no checking account",54,"no credits taken/all credits paid back duly","car (used)",9436,"unknown/no savings account","1 <= ... < 4 years",2,"male : single","none",2,"building society savings agreement/life insurance",39,"none","own",1,"unskilled - resident",2,"no","yes",1
"80","0 <= ... < 200 DM",30,"existing credits paid back duly till now","radio/television",3832,"... < 100 DM","... < 1 year",2,"male : married/widowed","none",1,"building society savings agreement/life insurance",22,"none","own",1,"skilled employee/official",1,"no","yes",1
"81","no checking account",24,"existing credits paid back duly till now","domestic appliances",5943,"unknown/no savings account","... < 1 year",1,"female : divorced/separated/married","none",1,"car or other",44,"none","own",2,"skilled employee/official",1,"yes","yes",0
"82","no checking account",15,"existing credits paid back duly till now","domestic appliances",NA,"500 <= ... < 1000 DM","... >= 7 years",4,"male : single","none",3,"building society savings agreement/life insurance",47,"stores","own",1,"skilled employee/official",1,"yes","yes",1
"83","no checking account",18,"existing credits paid back duly till now","others",1568,"100 <= ... < 500 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none","rent",1,"unskilled - resident",1,"no","yes",1
"84","... < 100 DM",24,"existing credits paid back duly till now","furniture/equipment",1755,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","guarantor",4,"real estate",58,"none","own",1,"unskilled - resident",1,"yes","yes",1
"85","... < 100 DM",10,"existing credits paid back duly till now","domestic appliances",2315,"... < 100 DM","... >= 7 years",3,"male : single","none",4,"real estate",52,"none","own",1,"unskilled - resident",1,"no","yes",1
"86","no checking account",12,"critical account/other credits existing","others",1412,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","guarantor",2,"real estate",29,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"87","0 <= ... < 200 DM",18,"critical account/other credits existing","radio/television",NA,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",1,"building society savings agreement/life insurance",27,"none","own",2,"skilled employee/official",1,"no","yes",1
"88","0 <= ... < 200 DM",36,"existing credits paid back duly till now","retraining",12612,"100 <= ... < 500 DM","1 <= ... < 4 years",1,"male : single","none",4,"unknown/no property",47,"none","for free",1,"skilled employee/official",2,"yes","yes",0
"89","... < 100 DM",18,"existing credits paid back duly till now",NA,2249,"100 <= ... < 500 DM","4 <= ... < 7 years",4,"male : single","none",3,"car or other",30,"none","own",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"90","... < 100 DM",12,"no credits taken/all credits paid back duly","education",1108,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",3,"real estate",28,"none","own",2,"skilled employee/official",1,"no","yes",0
"91","no checking account",12,"critical account/other credits existing","domestic appliances",NA,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",56,"none","own",1,"skilled employee/official",1,"no","yes",1
"92","... < 100 DM",12,"critical account/other credits existing","car (used)",1409,"... < 100 DM","... >= 7 years",4,"male : single","none",3,"real estate",54,"none","own",1,"skilled employee/official",1,"no","yes",1
"93","no checking account",12,"critical account/other credits existing","domestic appliances",797,"unknown/no savings account","... >= 7 years",4,"female : divorced/separated/married","none",3,"building society savings agreement/life insurance",33,"bank","own",1,"unskilled - resident",2,"no","yes",0
"94","... >= 200 DM / salary for at least 1 year",24,"critical account/other credits existing","radio/television",3617,"unknown/no savings account","... >= 7 years",4,"male : single","co-applicant",4,"unknown/no property",20,"none","rent",2,"skilled employee/official",1,"no","yes",1
"95","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",1318,"... >= 1000 DM","... >= 7 years",4,"male : single","none",4,"real estate",54,"none","own",1,"skilled employee/official",1,"yes","yes",1
"96","0 <= ... < 200 DM",54,"no credits taken/all credits paid back duly","others",NA,"... < 100 DM","... < 1 year",3,"male : single","none",4,"unknown/no property",58,"none","rent",1,"skilled employee/official",1,"yes","yes",0
"97","no checking account",12,"critical account/other credits existing","retraining",2012,"unknown/no savings account","4 <= ... < 7 years",4,"female : divorced/separated/married","none",2,"car or other",61,"none","own",1,"skilled employee/official",1,"no","yes",1
"98","0 <= ... < 200 DM",18,"existing credits paid back duly till now","others",2622,"100 <= ... < 500 DM","1 <= ... < 4 years",4,"male : single","none",4,"car or other",34,"none","own",1,"skilled employee/official",1,"no","yes",1
"99","0 <= ... < 200 DM",36,"critical account/other credits existing","domestic appliances",2337,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"real estate",36,"none","own",1,"skilled employee/official",1,"no","yes",1
"100","0 <= ... < 200 DM",20,"delay in paying off in the past","car (used)",7057,"unknown/no savings account","4 <= ... < 7 years",3,"male : single","none",4,"building society savings agreement/life insurance",36,"bank","rent",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes",1
"101","no checking account",24,"existing credits paid back duly till now","car (new)",1469,"100 <= ... < 500 DM","... >= 7 years",4,"male : married/widowed","none",4,"real estate",41,"none","rent",1,"unskilled - resident",1,"no","yes",1
"102","0 <= ... < 200 DM",36,"existing credits paid back duly till now","domestic appliances",2323,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",4,"car or other",24,"none","rent",1,"skilled employee/official",1,"no","yes",1
"103","no checking account",6,"delay in paying off in the past","domestic appliances",932,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes",1
"104","0 <= ... < 200 DM",9,"critical account/other credits existing","radio/television",1919,"... < 100 DM","4 <= ... < 7 years",4,"male : single","none",3,"car or other",35,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"105","no checking account",12,"existing credits paid back duly till now","car (used)",2445,"unknown/no savings account","... < 1 year",2,"male : married/widowed","none",4,"car or other",26,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"106","0 <= ... < 200 DM",24,"critical account/other credits existing","furniture/equipment",11938,"... < 100 DM","1 <= ... < 4 years",2,"male : single","co-applicant",3,"car or other",39,"none","own",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes",0
"107","no checking account",18,"all credits at this bank paid back duly","car (new)",6458,"... < 100 DM","... >= 7 years",2,"male : single","none",4,"unknown/no property",39,"bank","own",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes",0
"108","0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",6078,"... < 100 DM","4 <= ... < 7 years",2,"male : single","none",2,"car or other",32,"none","own",1,"skilled employee/official",1,"no","yes",1
"109","... < 100 DM",24,"existing credits paid back duly till now","radio/television",7721,"unknown/no savings account","... < 1 year",1,"female : divorced/separated/married","none",2,"building society savings agreement/life insurance",30,"none","own",1,"skilled employee/official",1,"yes","no",1
"110","0 <= ... < 200 DM",14,"existing credits paid back duly till now","others",1410,"500 <= ... < 1000 DM","... >= 7 years",1,"male : married/widowed","none",2,"real estate",35,"none","own",1,"skilled employee/official",1,"yes","yes",1
"111","0 <= ... < 200 DM",6,"delay in paying off in the past","others",1449,"100 <= ... < 500 DM","... >= 7 years",1,"male : divorced/separated","none",2,"car or other",31,"bank","own",2,"skilled employee/official",2,"no","yes",1
"112","... >= 200 DM / salary for at least 1 year",15,"existing credits paid back duly till now","retraining",392,"... < 100 DM","... < 1 year",4,"female : divorced/separated/married","none",4,"building society savings agreement/life insurance",23,"none","rent",1,"skilled employee/official",1,"yes","yes",1
"113","0 <= ... < 200 DM",18,"existing credits paid back duly till now","car (new)",6260,"... < 100 DM","4 <= ... < 7 years",3,"male : single","none",3,"real estate",28,"none","rent",1,"unskilled - resident",1,"no","yes",1
"114","no checking account",36,"critical account/other credits existing","car (new)",7855,"... < 100 DM","1 <= ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",25,"stores","own",2,"skilled employee/official",1,"yes","yes",0
"115","... < 100 DM",12,"existing credits paid back duly till now","domestic appliances",1680,"500 <= ... < 1000 DM","... >= 7 years",3,"male : married/widowed","none",1,"real estate",35,"none","own",1,"skilled employee/official",1,"no","yes",1
"116","no checking account",48,"critical account/other credits existing","domestic appliances",3578,"unknown/no savings account","... >= 7 years",4,"male : single","none",1,"real estate",47,"none","own",1,"skilled employee/official",1,"yes","yes",1
"117","... < 100 DM",42,"existing credits paid back duly till now","domestic appliances",7174,"unknown/no savings account","4 <= ... < 7 years",4,"female : divorced/separated/married","none",3,"car or other",30,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",0
"118","... < 100 DM",10,"critical account/other credits existing","radio/television",2132,"unknown/no savings account","... < 1 year",2,"female : divorced/separated/married","co-applicant",3,"real estate",27,"none",NA,2,"skilled employee/official",1,"no","no",1
"119","... < 100 DM",33,"critical account/other credits existing","radio/television",4281,"500 <= ... < 1000 DM","1 <= ... < 4 years",1,"female : divorced/separated/married","none",4,"car or other",23,"none","own",2,"skilled employee/official",1,"no","yes",0
"120","0 <= ... < 200 DM",12,"critical account/other credits existing","car (new)",2366,"500 <= ... < 1000 DM","4 <= ... < 7 years",3,"male : divorced/separated","none",3,"car or other",36,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"121","... < 100 DM",21,"existing credits paid back duly till now","domestic appliances",1835,"... < 100 DM","1 <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",25,"none","own",2,"skilled employee/official",1,"yes","yes",0
"122","no checking account",24,"critical account/other credits existing","car (used)",3868,"... < 100 DM","... >= 7 years",4,"female : divorced/separated/married","none",2,"car or other",41,"none","rent",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
"123","no checking account",12,"existing credits paid back duly till now","radio/television",1768,"... < 100 DM","1 <= ... < 4 years",3,"male : single","none",2,"real estate",24,"none","rent",1,"unskilled - resident",1,"no","yes",1
"124","... >= 200 DM / salary for at least 1 year",10,"critical account/other credits existing","car (new)",NA,"... < 100 DM","... >= 7 years",4,"male : single","none",4,"unknown/no property",63,"none","for free",2,"skilled employee/official",1,"yes","yes",1
"125","0 <= ... < 200 DM",18,"existing credits paid back duly till now","radio/television",1924,"unknown/no savings account","... < 1 year",4,"female : divorced/separated/married","none",3,"real estate",27,"none","rent",1,"skilled employee/official",1,"no","yes",0
"126","... < 100 DM",12,"critical account/other credits existing","car (new)",2121,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"building society savings agreement/life insurance",30,"none","own",2,"skilled employee/official",1,"no","yes",1
"127","... < 100 DM",12,"existing credits paid back duly till now","domestic appliances",701,"... < 100 DM","1 <= ... < 4 years",4,"male : married/widowed","none",2,"real estate",40,"none","own",1,"unskilled - resident",1,"no","yes",1
"128","0 <= ... < 200 DM",12,"existing credits paid back duly till now","education",639,"... < 100 DM","1 <= ... < 4 years",4,"male : single","none",2,"car or other",30,"none","own",1,"skilled employee/official",1,"no","yes",0
"129","0 <= ... < 200 DM",12,"critical account/other credits existing","car (used)",1860,"... < 100 DM","unemployed",4,"male : single","none",2,"car or other",34,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes",1
